iter	Passed	Remaining
587	24701	101325
588	24742	101279
589	24781	101227
590	24821	101175
591	24863	101132
592	24904	101087
593	24944	101038
594	24984	100989
595	25027	100951
596	25072	100921
597	25122	100909
598	25161	100855
599	25203	100813
600	25247	100778
601	25287	100730
602	25331	100694
603	25370	100641
604	25413	100603
605	25452	100550
606	25493	100505
607	25534	100459
608	25574	100407
609	25612	100352
610	25655	100312
611	25693	100253
612	25730	100191
613	25768	100136
614	25814	100109
615	25853	100056
616	25894	100008
617	25933	99958
618	25974	99909
619	26019	99882
620	26063	99846
621	26120	99864
622	26176	99874
623	26216	99825
624	26258	99783
625	26297	99730
626	26338	99684
627	26381	99643
628	26423	99601
629	26467	99568
630	26506	99513
631	26546	99464
632	26584	99409
633	26626	99364
634	26669	99329
635	26708	99274
636	26749	99227
637	26785	99166
638	26825	99116
639	26862	99057
640	26906	99021
641	26945	98967
642	26984	98916
643	27023	98860
644	27063	98812
645	27104	98766
646	27146	98725
647	27183	98667
648	27224	98619
649	27271	98597
650	27315	98563
651	27355	98512
652	27397	98471
653	27440	98432
654	27484	98397
655	27525	98352
656	27564	98299
657	27604	98253
658	27642	98195
659	27684	98155
660	27725	98109
661	27765	98058
662	27807	98017
663	27850	97978
664	27892	97937
665	27933	97894
666	27972	97842
667	28012	97792
668	28052	97742
669	28091	97692
670	28136	97658
671	28177	97614
672	28214	97557
673	28255	97511
674	28300	97479
675	28344	97443
676	28388	97409
677	28428	97360
678	28474	97333
679	28521	97307
680	28562	97263
681	28602	97214
682	28643	97170
683	28689	97141
684	28727	97086
685	28770	97047
686	28814	97012
687	28858	96978
688	28903	96945
689	28944	96900
690	28984	96853
691	29024	96804
692	29063	96752
693	29103	96705
694	29144	96659
695	29184	96611
696	29225	96566
697	29265	96515
698	29306	96471
699	29347	96427
700	29392	96396
701	29433	96349
702	29472	96298
703	29517	96268
704	29558	96223
705	29598	96174
706	29637	96122
707	29680	96083
708	29721	96039
709	29772	96027
710	29814	95984
711	29863	95965
712	29901	95912
713	29943	95870
714	29985	95827
715	30023	95773
716	30064	95728
717	30106	95688
718	30145	95635
719	30189	95599
720	30228	95547
721	30268	95500
722	30308	95452
723	30351	95413
724	30393	95372
725	30434	95329
726	30478	95290
727	30520	95249
728	30560	95201
729	30600	95153
730	30643	95116
731	30698	95113
732	30745	95089
733	30788	95049
734	30830	95008
735	30874	94972
736	30915	94926
737	30953	94873
738	30992	94824
739	31034	94782
740	31071	94724
741	31112	94680
742	31149	94623
743	31191	94581
744	31231	94534
745	31275	94496
746	31311	94437
747	31353	94397
748	31395	94353
749	31434	94303
750	31476	94262
751	31522	94233
752	31562	94183
753	31599	94128
754	31640	94082
755	31680	94036
756	31722	93994
757	31761	93943
758	31804	93903
759	31842	93850
760	31882	93805
761	31924	93763
762	31967	93722
763	32007	93676
764	32046	93624
765	32089	93586
766	32129	93539
767	32170	93494
768	32208	93442
769	32250	93401
770	32293	93361
771	32332	93311
772	32372	93264
773	32410	93212
774	32452	93170
775	32498	93138
776	32539	93095
777	32581	93054
778	32624	93014
779	32663	92965
780	32705	92923
781	32748	92886
782	32788	92838
783	32831	92797
784	32871	92753
785	32913	92710
786	32958	92677
787	33000	92635
788	33044	92601
789	33086	92559
790	33124	92504
791	33162	92451
792	33200	92400
793	33248	92375
794	33289	92332
795	33331	92288
796	33371	92242
797	33413	92200
798	33458	92167
799	33499	92123
800	33539	92075
801	33579	92029
802	33620	91984
803	33660	91938
804	33701	91892
805	33740	91845
806	33781	91800
807	33822	91756
808	33865	91716
809	33907	91674
810	33946	91625
811	33985	91577
812	34023	91525
813	34066	91485
814	34106	91439
815	34146	91392
816	34187	91348
817	34226	91298
818	34268	91258
819	34309	91214
820	34346	91158
821	34388	91117
822	34432	91080
823	34472	91033
824	34515	90995
825	34553	90944
826	34597	90907
827	34638	90864
828	34682	90827
829	34720	90774
830	34756	90718
831	34795	90668
832	34839	90632
833	34877	90581
834	34916	90531
835	34955	90483
836	34993	90431
837	35034	90386
838	35074	90341
839	35112	90289
840	35155	90251
841	35196	90206
842	35233	90153
843	35271	90101
844	35309	90049
845	35349	90003
846	35389	89955
847	35431	89914
848	35477	89884
849	35523	89854
850	35566	89814
851	35611	89780
852	35652	89738
853	35693	89693
854	35734	89650
855	35776	89608
856	35820	89572
857	35864	89535
858	35904	89488
859	35943	89439
860	35984	89397
861	36024	89350
862	36061	89297
863	36119	89294
864	36172	89282
865	36214	89240
866	36258	89203
867	36297	89153
868	36341	89117
869	36387	89086
870	36429	89044
871	36469	88998
872	36506	88945
873	36549	88906
874	36587	88855
875	36626	88807
876	36666	88759
877	36711	88727
878	36749	88676
879	36787	88624
880	36824	88571
881	36863	88521
882	36903	88477
883	36945	88436
884	36989	88398
885	37028	88349
886	37067	88300
887	37107	88255
888	37148	88211
889	37188	88165
890	37228	88120
891	37262	88060
892	37304	88018
893	37344	87972
894	37386	87931
895	37426	87884
896	37464	87835
897	37507	87795
898	37548	87753
899	37587	87705
900	37629	87662
901	37668	87614
902	37707	87566
903	37749	87525
904	37792	87487
905	37832	87441
906	37871	87392
907	37910	87343
908	37948	87295
909	37988	87249
910	38030	87206
911	38077	87178
912	38127	87153
913	38164	87102
914	38202	87051
915	38243	87007
916	38284	86964
917	38322	86915
918	38362	86868
919	38402	86823
920	38443	86779
921	38480	86727
922	38520	86681
923	38561	86637
924	38603	86597
925	38639	86543
926	38679	86497
927	38719	86450
928	38757	86401
929	38799	86359
930	38839	86315
931	38881	86274
932	38922	86229
933	38962	86185
934	39001	86137
935	39041	86090
936	39082	86047
937	39120	85997
938	39158	85948
939	39196	85898
940	39240	85863
941	39282	85820
942	39320	85771
943	39360	85725
944	39397	85674
945	39439	85633
946	39478	85586
947	39518	85539
948	39560	85498
949	39603	85460
950	39641	85409
951	39688	85380
952	39728	85335
953	39767	85286
954	39806	85240
955	39847	85197
956	39887	85151
957	39928	85107
958	39966	85059
959	40004	85009
960	40047	84970
961	40088	84927
962	40128	84882
963	40169	84838
964	40209	84794
965	40251	84752
966	40291	84707
967	40329	84658
968	40366	84606
969	40403	84556
970	40441	84506
971	40482	84462
972	40519	84411
973	40557	84362
974	40595	84314
975	40633	84264
976	40674	84222
977	40711	84170
978	40749	84121
979	40790	84078
980	40828	84030
981	40867	83983
982	40908	83940
983	40950	83898
984	40990	83854
985	41034	83817
986	41071	83766
987	41119	83736
988	41162	83698
989	41203	83654
990	41242	83609
991	41282	83563
992	41324	83523
993	41362	83473
994	41401	83426
995	41442	83384
996	41483	83342
997	41522	83294
998	41562	83249
999	41603	83206
1000	41640	83155
1001	41679	83110
1002	41716	83059
1003	41758	83017
1004	41796	82968
1005	41836	82923
1006	41880	82886
1007	41921	82845
1008	41964	82805
